Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_8,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 08 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under Nagaon Circle,PKG 08 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under Nagaon Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Jorhat,785001.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,16-Aug-2024,INR 1,365.0,Milan Kalita,17-Aug-2024 12:13 PM,PKG08_NagaonCircle.pdf (766.00 KB),188787.0,Achintya Kalita,INR,1.0,10-Jul-2023 04:46 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,Finance,Bid has been openen,16-Aug-2024 03:38 PM,,BOQ Comparative Chart,Chief Engineer,Internal,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188820.0,Md. Elias Khan,INR,1.0,19-Jul-2023 11:16 AM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188843.0,M/s Subarna Construction,INR,1.0,14-Jul-2023 08:02 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188878.0,Sirajul Islam,INR,1.0,11-Jul-2023 09:56 AM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188882.0,BHUYAN CORPORATION,INR,1.0,05-Jul-2023 06:24 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188896.0,Shaikhul Islam,INR,1.0,11-Jul-2023 11:47 AM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188943.0,RUPAM BHUYAN,INR,1.0,10-Jul-2023 01:30 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188959.0,Nilamoni Kakati,INR,1.0,07-Jul-2023 11:39 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188964.0,Tusanta Kalita,INR,1.0,10-Jul-2023 02:46 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188977.0,BPLAB KUMAR TARAFDAR,INR,1.0,07-Jul-2023 11:18 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188980.0,PINTU ROY,INR,1.0,11-Jul-2023 02:39 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188981.0,DIPANKAR MANDAL,INR,1.0,18-Jul-2023 08:35 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188984.0,BIRAJ KR NANDI,INR,1.0,07-Jul-2023 12:05 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188987.0,Siddhartha Mandal,INR,1.0,09-Jul-2023 12:43 PM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188989.0,Md Nawshad Ali,INR,1.0,11-Jul-2023 11:25 AM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188991.0,Md Ikramul Hussain,INR,1.0,11-Jul-2023 01:23 AM,Accepted-AOC,Awarded,17-Aug-2024 12:16 PM,,,,,,,,,1.0,L1
