Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_12,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 12 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under BTAD Zone,PKG 12 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under BTAD Zone,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Kokrajhar,783370.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,17-Aug-2024,INR 1,365.0,Milan Kalita,17-Aug-2024 04:25 PM,PKG12_BTADZONE.pdf (696.00 KB),188114.0,Seacrow EPC Contractors LLP,INR,1.0,18-Jul-2023 09:28 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,Finance,Bid has been opened,17-Aug-2024 01:57 PM,finance_50109.pdf,BOQ Comparative Chart,Chief Engineer,Internal,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188760.0,BHUBANESWAR BARUAH,INR,1.0,11-Jul-2023 11:43 AM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188872.0,NURMAL HUSSAIN,INR,1.0,10-Jul-2023 12:28 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189065.0,BIPUL KR SARMA,INR,1.0,18-Jul-2023 12:17 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189091.0,SRI RATUL CH DEKA,INR,1.0,19-Jul-2023 01:50 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189126.0,MAKUNDA DEKA,INR,1.0,10-Jul-2023 02:29 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189181.0,SHAHIDUL AHMED,INR,1.0,11-Jul-2023 01:56 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189191.0,TOMEZ UDDIN AHMED,INR,1.0,17-Jul-2023 09:04 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189274.0,Gokul Chetri,INR,1.0,11-Jul-2023 02:40 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189286.0,SHOBHA RANJAN PAUL,INR,1.0,14-Jul-2023 03:21 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189306.0,M/S DAS ENTERPRISE,INR,1.0,18-Jul-2023 02:06 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189330.0,SRI TARUN DEKA,INR,1.0,09-Jul-2023 11:57 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189388.0,DIPAK DEKA,INR,1.0,15-Jul-2023 08:03 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189400.0,J & D ENTERPRISE,INR,1.0,19-Jul-2023 02:43 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189406.0,TRIDIP RANJAN DUTTA,INR,1.0,17-Jul-2023 09:43 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189458.0,Md Alaluddin,INR,1.0,11-Jul-2023 08:25 AM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189471.0,MR SHOBHAN KUMAR SAHA,INR,1.0,01-Jul-2023 08:29 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189482.0,ETI SAHA,INR,1.0,11-Jul-2023 03:01 PM,Accepted-AOC,Awarded,17-Aug-2024 04:25 PM,,,,,,,,,1.0,L1
